query,evaluation_set,description,expected_intent,parsed_intent,intent_correct,expected_covariate,parsed_covariate,covariate_correct,expected_horizon,parsed_horizon,horizon_correct,modification_applied,nli_score,nli_pass,delta_mean,delta_faithful,task_completed,confidence,error
How much uncertainty surrounds this prediction?,blind,Uncertainty question without the word 'confidence',confidence_query,confidence_query,True,,,True,,,True,False,,,,,True,rule,
Can you tell me the prediction intervals?,blind,Direct prediction-interval request,confidence_query,confidence_query,True,,,True,,,True,False,,,,,True,rule,
Exclude weather_temperature from the model.,blind,Remove via 'exclude' with exact name,remove_covariate,remove_covariate,True,weather_temperature,weather_temperature,True,,,True,False,,,,,True,rule,
What if there were no holiday_proximity factor?,blind,Remove via 'what if...no' phrasing,remove_covariate,remove_covariate,True,holiday_proximity,holiday_proximity,True,,,True,False,,,,,True,rule,
Double the holiday_proximity.,blind,Scale with word-factor 'double',scale_covariate,scale_covariate,True,holiday_proximity,holiday_proximity,True,,,True,False,,,,,True,rule,
Suppose social_media_mentions dropped by 40%.,blind,Scale via 'dropped by' + percentage,scale_covariate,scale_covariate,True,social_media_mentions,social_media_mentions,True,,,True,False,,,,,True,rule,
What if the price discount were halved?,blind,Scale via 'halved' + partial alias 'price discount',scale_covariate,scale_covariate,True,price_discount_percentage,price_discount_percentage,True,,,True,False,,,,,True,rule,
Forecast for the next three days.,blind,Horizon via word-number 'three days',change_horizon,change_horizon,True,,,True,72.0,72.0,True,False,,,,,True,rule,
Can we look at 96 steps ahead?,blind,Horizon via 'N steps ahead' phrasing,change_horizon,change_horizon,True,,,True,96.0,96.0,True,False,,,,,True,rule,
What would the forecast have looked like with higher marketing spend last quarter?,blind,Historical counterfactual — no scale trigger word,counterfactual,counterfactual,True,marketing_spend,marketing_spend,True,,,True,False,,,,,True,rule,
